,Activity Date,Distance,Moving Time,Max Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Average Cadence,Average Heart Rate,Average Watts,Weighted Average Power,Wind Speed,Average Speed,Total Weight
770,2019-12-29 20:22:31,50.13,6255.0,46.43999862670898,349.0,364.0,815.5999755859375,848.5999755859375,84.6041030883789,128.0,144.97218322753906,146.0,,28.851798561151078,74.5
771,2019-12-30 11:55:43,72.24,9589.0,52.56000137329102,717.0,708.0,759.7999877929688,857.0,82.43480682373047,136.0,146.5440673828125,152.0,,27.121076233183853,74.5
773,2020-01-04 21:05:57,23.88,3046.0,42.839998626708976,130.0,129.0,803.0,830.0,85.0974349975586,125.0,149.55796813964844,157.0,,28.223243598161524,74.5
774,2020-01-05 10:54:36,58.53,7394.0,67.32000274658203,673.0,684.0,638.7999877929688,857.4000244140625,79.78483581542969,134.0,137.6771697998047,161.0,,28.497159859345416,74.5
776,2020-01-08 14:34:51,34.65,4313.0,49.319999313354494,186.0,169.0,804.2000122070312,839.7999877929688,84.9555892944336,141.0,146.74774169921875,151.0,,28.921864131694875,74.5
777,2020-01-09 11:41:47,46.15,5693.0,55.08000068664551,424.0,422.0,772.5999755859375,870.0,84.92647552490234,149.0,162.89390563964844,172.0,,29.18320744774284,74.5
778,2020-01-11 09:42:19,123.36,14874.0,70.92000274658203,1308.0,1324.0,587.0,886.7999877929688,83.84659576416016,152.0,146.46778869628906,158.0,,29.857200484066155,74.5
779,2020-01-14 13:31:46,45.01,5381.0,43.919999313354495,230.0,222.0,818.2000122070312,853.5999755859375,87.0440673828125,142.0,166.20162963867188,175.0,,30.1126184724029,74.5
780,2020-01-15 19:20:28,34.93,4277.0,44.28000068664551,176.0,172.0,806.5999755859375,834.5999755859375,85.3265380859375,144.0,145.86672973632812,148.0,,29.40098199672668,74.5
781,2020-01-16 13:33:51,45.06,5325.0,46.43999862670898,226.0,222.0,851.0,887.7999877929688,88.4194564819336,158.0,166.99737548828125,172.0,,30.4630985915493,74.5
783,2020-01-18 11:34:40,90.58,11395.0,66.239998626709,909.0,909.0,741.7999877929688,904.4000244140624,82.9790267944336,137.0,149.70907592773438,160.0,,28.61676173760421,74.5
784,2020-01-19 21:16:50,30.63,3838.0,39.23999862670898,210.0,218.0,807.0,844.5999755859375,85.35332489013672,128.0,146.34288024902344,147.0,,28.73058884835852,74.5
785,2020-01-20 11:42:01,60.9,7569.0,58.67999725341797,432.0,441.0,752.5999755859375,880.0,82.86627960205078,126.0,145.1278839111328,151.0,,28.96551724137931,74.5
788,2020-01-25 10:10:20,211.03,29407.0,63.72000274658203,2424.0,2437.0,584.7999877929688,933.0,80.25995635986328,141.0,131.96693420410156,144.0,,25.834257149658246,74.5
791,2020-01-30 22:01:53,31.64,4503.0,32.760001373291026,1.0,1.0,770.4000244140625,775.2000122070312,85.05396270751953,116.0,146.5385284423828,146.0,,25.295136575616255,74.5
792,2020-02-01 13:44:18,28.77,3831.0,55.43999862670898,330.0,309.0,771.2000122070312,893.7999877929688,85.37545776367188,143.0,156.19708251953125,197.0,,27.035238841033674,74.5
797,2020-02-08 11:08:12,100.19,12804.0,65.16000137329102,902.0,912.0,643.7999877929688,867.0,84.64302825927734,140.0,147.02731323242188,157.0,,28.16963448922212,74.5
800,2020-02-15 11:45:26,103.81,13406.0,64.43999862670898,1196.0,1194.0,570.5999755859375,885.4000244140625,82.59746551513672,154.0,144.86184692382812,154.0,11.771999931335449,27.876771594808293,74.5
801,2020-02-16 13:33:45,45.09,5868.0,56.5199993133545,404.0,401.0,775.7999877929688,872.2000122070312,82.48313903808594,140.0,144.42587280273438,155.0,11.123999691009521,27.662576687116566,74.5
805,2020-02-22 10:34:47,116.77,14007.0,64.43999862670898,1354.800048828125,1489.4000244140625,627.7999877929688,999.0,81.9123764038086,136.3461520534156,143.6829376220703,163.0,6.8399999141693115,30.011565645748554,74.5
807,2020-02-25 10:58:32,88.76,11016.0,66.239998626709,928.0,929.0,604.4000244140625,852.7999877929688,82.032470703125,138.0,148.3759002685547,164.0,11.231999588012696,29.00653594771242,74.5
810,2020-02-28 11:15:19,37.44,4694.0,63.72000274658203,371.0,366.0,833.7999877929688,899.4000244140625,81.890625,125.0,147.10028076171875,153.0,14.4,28.714103110353637,74.5
814,2020-03-07 11:08:53,93.31,11293.0,59.4,913.0,904.0,696.2000122070312,835.4000244140625,85.95307922363281,145.0,163.85708618164062,172.0,12.528000068664552,29.74550606570442,74.5
